Article_ID,Headline,Keywords,News_Category,Pub_Date,Section_Name,Snippet,Media_Type,URL
5a7101c110f40f00018be961,"Rhythm of the Streets: ‘We’re Warrior Women, and Yes, We Can Play’","['Bahia (Brazil)', 'Music', 'Women and Girls', 'Banda Dida (Music Group)', 'Drums', 'Carnival (Pre-Lenten)']", Travel & Events,1/30/2018 23:37,Unknown,Meet the all-female Brazilian drum group that is challenging gender norms.,News,https://www.nytimes.com/2018/01/30/travel/brazil-all-female-drums-bahia-banda-dida.html
5a70fc1210f40f00018be950,"As Deficit Grows, Congress Keeps Spending","['United States Politics and Government', 'Federal Budget (US)', 'Federal Taxes (US)', 'National Debt (US)', 'Infrastructure (Public Works)', 'Trump, Donald J']", News & Politics,1/30/2018 23:13,Politics,Treasury Secretary Steven Mnuchin urged Congress to lift the debt ceiling as lawmakers embark on a spending spree.,News,https://www.nytimes.com/2018/01/30/us/politics/federal-deficit-1-trillion.html
5a70f8f810f40f00018be943,Lesson in Select Bus Service,"['Buses', 'Pennsylvania Station (Manhattan, NY)', 'New York City']", News & Politics,1/30/2018 23:00,Unknown,A woman finds out what happens when you don’t pay your fare before boarding.,News,https://www.nytimes.com/2018/01/30/nyregion/metropolitan-diary-lesson-in-select-bus-service.html
5a70eb8110f40f00018be925,Here’s the Real State of the Union,"['State of the Union Message (US)', 'Trump, Donald J', 'United States Politics and Government', 'United States International Relations']", People & Blogs,1/30/2018 22:02,Editorials,"The reaction against his authoritarian impulses, assault on truth and cruelties great and petty has revealed abiding American strengths.",Editorial,https://www.nytimes.com/2018/01/30/opinion/editorials/donald-trump-sotu-boasting.html
5a70d1d210f40f00018be8d9,Good Riddance to Chief Wahoo,"['Baseball', 'Cleveland Indians', 'Western Reserve Historical Society', 'Cleveland (Ohio)']", People & Blogs,1/30/2018 20:13,Unknown,"I’ve lived in Cleveland all my life, and I’m glad to see the racist mascot go.",Op-Ed,https://www.nytimes.com/2018/01/30/opinion/chief-wahoo-cleveland.html
5a70d1ad10f40f00018be8d8,"In South Africa, Facing ‘Day Zero’ With No Water","['Cape Town (South Africa)', 'Water', 'Shortages', 'Drought', 'Rationing and Allocation of Resources', 'South Africa', 'African National Congress', 'Global Warming', 'vis-photo']",Foreign,1/30/2018 20:12,Africa,"One of Africa’s richest cities is threatening to turn off the taps to its four million residents, cutting off homes and most businesses.",News,https://www.nytimes.com/2018/01/30/world/africa/cape-town-day-zero.html
5a70c57b10f40f00018be8ac,How Trump’s Critics Should Respond,"['United States Politics and Government', 'State of the Union Message (US)', 'Trump, Donald J', 'Carrier Corp']", People & Blogs,1/30/2018 19:20,Unknown,The normalcy of a State of the Union address serves as a reminder of what works against Trump.,Op-Ed,https://www.nytimes.com/2018/01/30/opinion/trump-critics-sotu.html
5a70b7f310f40f00018be885,Unknown,"['Gymnastics', 'Child Abuse and Neglect', 'Athletics and Sports', 'USA Gymnastics', 'Nassar, Lawrence G (1963- )']",Sports,1/30/2018 18:22,Unknown,We invite members of the gymnastics community to a conversation about the future of the sport and what changes they expect in the wake of the Nassar trial.,News,https://www.nytimes.com/2018/01/30/sports/larry-nassar-trial-gymnastics-gymnasts-reactions.html
5a70b2e710f40f00018be876,A Republican Stalwart Sets Out on a Quest to Unseat Cuomo as Governor,"['DeFrancisco, John A', 'Elections, Governors', 'Republican Party', 'Cuomo, Andrew M', 'New York State']", News & Politics,1/30/2018 18:01,Unknown,"John DeFrancisco, a state senator for a quarter-century, plans to vacate his seat to challenge Gov. Andrew Cuomo.",News,https://www.nytimes.com/2018/01/30/nyregion/defrancisco-governor-campaign-cuomo.html
5a70b22d10f40f00018be86f,Unknown,['Books and Literature'],Entertainment,1/30/2018 17:57,Book Review,"Whether or not you’re nursing a heartbreak, these tales of unsettled passions will appeal to the romantic in all of us.",News,https://www.nytimes.com/2018/01/30/books/review/match-book-forbidden-love.html
5a70af8c10f40f00018be864,‘Beirut’ Trailer Was Supposed to Thrill. It Didn’t.,"['Movies', 'Beirut (Movie)', 'Gilroy, Tony', 'Anderson, Brad (1964- )', 'Hamm, Jon', 'Morocco', 'Lebanon']", Travel & Events,1/30/2018 17:46,Unknown,"A trailer for the new movie, starring Jon Hamm, has been the subject of scathing criticism. Detractors say it stereotypes and dehumanizes Arabs.",News,https://www.nytimes.com/2018/01/30/movies/beirut-trailer-jon-hamm-tony-gilroy.html
5a70acb510f40f00018be85c,Worker Who Sent Missile Alert Had Confused Drills for the Real Thing Before,"['Hawaii', 'Hawaii Emergency Management Agency', 'False Alarms', 'Security and Warning Systems', 'Government Employees', 'Federal Communications Commission']", News & Politics,1/30/2018 17:34,Unknown,"The false warning on Jan. 13, which touched off panic and confusion, happened when an employee with a poor work record misinterpreted instructions, a state report said.",News,https://www.nytimes.com/2018/01/30/technology/fcc-hawaii-missile-alert.html
5a70a17f10f40f00018be830,Where Food Has to Compete for Attention,"['Restaurants', 'Japanese Food (Cuisine)', 'Major Food Group', 'Carbone, Mario', 'Torrisi, Rich', 'Lobster Club']",Entertainment,1/30/2018 16:46,Unknown,"For the first time, a Major Food Group menu doesn’t quite measure up to its restaurant’s busy spectacle.",Review,https://www.nytimes.com/2018/01/30/dining/the-lobster-club-review.html
5a70915310f40f00018be7f6,What Drives Night Food Binges?,"['Eating Disorders', 'Hormones', 'Weight', 'Obesity', 'Food', 'Anxiety and Stress', 'Exercise']", Howto & Style,1/30/2018 15:37,Eat,Overweight binge eaters may be particularly susceptible to the influence of fluctuations in appetite-regulating hormones.,News,https://www.nytimes.com/2018/01/30/well/eat/binge-eating-at-night-your-hormones-may-be-to-blame.html
5a70912a10f40f00018be7f5,Westchester Seat May Alter Albany’s Math  ,"['Elections, State Legislature', 'Astorino, Robert P', 'Latimer, George S', 'Mayer, Shelley B', 'Schorr, Daniel', 'Westchester County (NY)', 'New York State', 'Khojasteh, Sarmad']", News & Politics,1/30/2018 15:37,Unknown,"A special election is needed to fill the State Senate seat left vacant by George Latimer, a Democrat, who won the race for Westchester County executive.",News,https://www.nytimes.com/2018/01/30/nyregion/westchester-democrats.html
5a708d4710f40f00018be7e8,Unknown,"['Trump, Donald J', 'State of the Union Message (US)', 'Russian Interference in 2016 US Elections and Ties to Trump Associates', 'United States Politics and Government', 'Special Prosecutors (Independent Counsel)']", News & Politics,1/30/2018 15:20,Politics,"President Trump delivered his first State of the Union address, followed by Representative Joseph Kennedy III’s response for the Democrats.",News,https://www.nytimes.com/2018/01/30/us/politics/trump-state-of-the-union.html
5a707a5810f40f00018be7af,Unknown,[], News & Politics,1/30/2018 13:59,Unknown,"Tuesday: Chief Charlie Beck calls it quits, a potential overhaul at the University of California, and a Padre makes the Hall of Fame.",briefing,https://www.nytimes.com/2018/01/30/us/california-today-los-angeless-police-chief-says-its-the-right-time-to-retire.html
5a7075f610f40f00018be7a1,Catalonia Delays Vote on President,"['Puigdemont, Carles (1962- )', 'Rajoy, Mariano', 'Catalonia (Spain)', 'Spain', 'Secession and Independence Movements', 'Legislatures and Parliaments']",Foreign,1/30/2018 13:41,Europe,"Carles Puigdemont, the separatist leader, is in Belgium and faces criminal charges in Spain. But he is the only candidate regional lawmakers will consider.",News,https://www.nytimes.com/2018/01/30/world/europe/spain-catalonia-carles-puigdemont.html
5a70723a10f40f00018be796,"In Reply, a Bilingual Salvo From Kennedy","['State of the Union Message (US)', 'Democratic Party', 'Kennedy, Joseph P III']", News & Politics,1/30/2018 13:25,Unknown,"Mr. Kennedy, a scion of the political dynasty, said the Trump administration was “a rebuke of our highest American ideal — that we are all worthy.”",News,https://www.nytimes.com/2018/01/30/us/joseph-kennedy-democratic-response.html
5a70693710f40f00018be777,"3 Giants Form Health Alliance, Rocking Insurers","['Amazon.com Inc', 'Bezos, Jeffrey P', 'Berkshire Hathaway Inc', 'Buffett, Warren E', 'JPMorgan Chase & Company', 'Dimon, James', 'Health Insurance and Managed Care', 'United States']", News & Politics,1/30/2018 12:46,Unknown,"The three companies will create a new venture with the goal of simplifying coverage for their employees, in a move that unsettled the health care world.",News,https://www.nytimes.com/2018/01/30/technology/amazon-berkshire-hathaway-jpmorgan-health-care.html
5a70635610f40f00018be763,Trump’s Actions on Russia Draw Anger From Both Moscow and Washington,"['Russia', 'United States International Relations', 'Trump, Donald J', 'Putin, Vladimir V', 'Embargoes and Sanctions', 'Russian Interference in 2016 US Elections and Ties to Trump Associates', 'United States Politics and Government']",Foreign,1/30/2018 12:21,Europe,The administration outraged lawmakers by not imposing new sanctions while upsetting Moscow by releasing a list of senior Russian officials and oligarchs.,News,https://www.nytimes.com/2018/01/30/world/europe/kremlin-russia-trump-list.html
5a705e5610f40f00018be74f,A Fine How-Do-You-Do,"['Football', 'Super Bowl', 'Minnesota Vikings', 'Philadelphia Eagles', 'Minneapolis (Minn)']",Sports,1/30/2018 12:00,Pro Football,Minnesotans who envisioned a hometown championship party for the Vikings now must host fans of the team that knocked them out of the playoffs.,News,https://www.nytimes.com/2018/01/30/sports/football/super-bowl-eagles-fans.html
5a70504a10f40f00018be72d,Unknown,['New York City'], News & Politics,1/30/2018 11:00,Unknown,"Tuesday: The president’s annual address, comic book club, and a super blue blood moon.",briefing,https://www.nytimes.com/2018/01/30/nyregion/new-york-today-state-of-the-union-blue-moon.html
5a70503610f40f00018be72c,Construction Executive Named to Tackle New Jersey’s Train Problem,"['Corbett, Kevin S', 'New Jersey Transit', 'Railroads', 'Appointments and Executive Changes', 'Delays (Transportation)', 'Commuting', 'Murphy, Philip D (1957- )', 'New Jersey', 'New York City']", News & Politics,1/30/2018 11:00,Unknown,"Kevin Corbett, top executive at a global construction and engineering firm, is about to take over one of the worst commuter railroads in the country.",News,https://www.nytimes.com/2018/01/30/nyregion/new-jersey-transit.html
